config,n_seeds,parametros,epocas_promedio,val_pr_auc_media,val_pr_auc_desvio,test_pr_auc_media,test_pr_auc_desvio,test_roc_auc_media,test_f1_max_media,test_brier_media
cv5_fold4,6,26177,65.3,0.8359,0.0295,0.8288,0.0251,0.9748,0.8022,0.0427
pf_qkv,6,106049,51.2,0.8377,0.0347,0.8284,0.0251,0.9752,0.794,0.0411
reg_do0,6,26177,66.3,0.8359,0.0265,0.8283,0.0218,0.9748,0.7846,0.0407
tl_distill_ens_d8,6,1937,103.2,0.8342,0.0381,0.8282,0.0208,0.9749,0.7882,0.0409
tl_distill_ens_min,6,3713,56.3,0.8349,0.0374,0.8274,0.0191,0.9747,0.7889,0.041
robu_init46,6,26177,59.7,0.8292,0.0409,0.8272,0.0265,0.9752,0.791,0.0408
tl_distill_ens,6,26177,47.7,0.8361,0.0351,0.8272,0.0226,0.9744,0.7871,0.0408
robu_init44,6,26177,62.5,0.8346,0.028,0.8267,0.0172,0.9747,0.7864,0.0412
tl_probe,6,26177,53.8,0.8328,0.0389,0.8265,0.0175,0.9749,0.7879,0.0428
pf_full,6,323201,45.3,0.8403,0.028,0.8262,0.0275,0.9739,0.7914,0.0415
cv5_fold2,6,26177,57.0,0.8413,0.0286,0.826,0.0216,0.9766,0.7936,0.0408
reg_fdrop01,6,26177,69.8,0.8375,0.032,0.8259,0.0248,0.9747,0.7871,0.0421
min_d16l1,6,3713,75.5,0.835,0.0364,0.8254,0.0255,0.9746,0.7857,0.0416
tl_distill_same,6,26177,47.0,0.8359,0.036,0.8254,0.0188,0.974,0.7801,0.0424
pf_qkv_d16,6,26913,66.8,0.841,0.0285,0.8249,0.0257,0.9749,0.7918,0.0421
tl_distill_min,6,3713,75.7,0.8357,0.041,0.8247,0.0159,0.9748,0.7826,0.0422
cv5_fold1,6,26177,72.7,0.8392,0.0233,0.8242,0.0322,0.975,0.803,0.0417
tl_distill_mix,6,26177,57.3,0.8348,0.0335,0.8241,0.0242,0.9745,0.7834,0.0409
feat_ordinal,6,26177,63.8,0.8345,0.0373,0.8239,0.0178,0.9748,0.7843,0.042
reg_nada,6,26177,68.0,0.8332,0.0264,0.8235,0.0217,0.9746,0.7907,0.0414
reg_wd0,6,26177,62.2,0.8397,0.0373,0.8234,0.0221,0.9753,0.7909,0.0406
cv5_fold0,6,26177,61.3,0.8413,0.0406,0.8223,0.0138,0.9741,0.7959,0.0415
robu_init47,6,26177,65.2,0.8344,0.033,0.822,0.0198,0.9749,0.7865,0.0419
tl_distill_ens_d8l1,6,1089,68.8,0.8298,0.038,0.821,0.0244,0.9735,0.7865,0.0418
pf_gate,6,36929,63.0,0.8337,0.0314,0.8204,0.0292,0.9748,0.7919,0.0414
pf_full_emb,6,325313,44.2,0.8279,0.0279,0.8186,0.0184,0.974,0.7927,0.043
pf_ffn,6,243329,58.0,0.8435,0.0293,0.8179,0.0138,0.9746,0.7886,0.0419
camp_d64h1l4,6,205313,39.0,0.8346,0.0371,0.8178,0.0231,0.9731,0.7903,0.0418
tl_emb_mlp,6,388289,67.2,0.8458,0.0226,0.8175,0.0188,0.9754,0.7931,0.0411
curva_frac75,6,26177,71.5,0.8265,0.0353,0.8172,0.0357,0.9728,0.7858,0.0417
reg_wd1e1,6,26177,63.2,0.8278,0.0272,0.8168,0.0274,0.9746,0.7863,0.0426
feat_ordinal_mlm20,6,26177,58.8,0.8373,0.0352,0.8168,0.0298,0.9741,0.7859,0.0425
sia_ae_cls,6,26177,65.5,0.8319,0.0312,0.8166,0.0329,0.9742,0.7869,0.0422
min_d8l1,6,1089,80.5,0.831,0.0372,0.8163,0.0173,0.9713,0.7849,0.0421
pac20_feat_h1,6,28289,77.8,0.8364,0.0316,0.8157,0.0258,0.9728,0.7881,0.0425
min_d16,6,6945,61.8,0.8258,0.0331,0.8154,0.0233,0.9738,0.7826,0.0428
pac20_feat_d64,6,105729,58.3,0.8323,0.0252,0.8149,0.0269,0.9736,0.7912,0.0418
min_d8,6,1937,79.0,0.8221,0.039,0.8142,0.0248,0.9714,0.7823,0.043
feat_target,6,26177,64.3,0.8311,0.0305,0.8134,0.0245,0.9725,0.7914,0.042
reg_do03,6,26177,64.0,0.8375,0.0369,0.8125,0.0217,0.9721,0.779,0.0444
